fl_date,mkt_unique_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,crs_elapsed_time,air_time,distance
2019-02-01,AA,211,AA,N830NN,211,12892,LAX,"Los Angeles, CA",14683,SAT,"San Antonio, TX",1905,1900,-5,19,1919,2339,5,2357,2344,-13,172,140,1211
2019-07-01,AA,6047,CP,N209NN,6047,15370,TUL,"Tulsa, OK",12892,LAX,"Los Angeles, CA",1843,1842,-1,16,1858,1942,8,2011,1950,-21,208,164,1283
2019-06-01,AA,5725,YV,N924FJ,5725,11298,DFW,"Dallas/Fort Worth, TX",15370,TUL,"Tulsa, OK",1240,1237,-3,17,1254,1339,3,1347,1342,-5,67,45,237
2019-02-01,AA,259,AA,N947AN,259,10721,BOS,"Boston, MA",13930,ORD,"Chicago, IL",1253,1336,43,20,1356,1509,8,1454,1517,23,181,133,867
2019-11-01,AA,5809,YV,N902FJ,5809,13158,MAF,"Midland/Odessa, TX",11298,DFW,"Dallas/Fort Worth, TX",1021,1052,31,17,1109,1200,16,1140,1216,36,79,51,309
2019-07-01,AA,6035,CP,N201NN,6035,14679,SAN,"San Diego, CA",12892,LAX,"Los Angeles, CA",1500,1457,-3,15,1512,1538,6,1557,1544,-13,57,26,109
2019-01-01,AA,5621,OH,N720PS,5621,13360,MLB,"Melbourne, FL",11057,CLT,"Charlotte, NC",1353,1353,0,7,1400,1514,3,1541,1517,-24,108,74,490
2019-09-01,AA,5,AA,N751AN,5,11298,DFW,"Dallas/Fort Worth, TX",12173,HNL,"Honolulu, HI",1120,1146,26,17,1203,1430,4,1435,1434,-1,495,447,3784
2019-08-01,AA,613,AA,N833AW,613,14107,PHX,"Phoenix, AZ",13871,OMA,"Omaha, NE",854,852,-2,16,908,1315,4,1337,1319,-18,163,127,1037
2019-08-01,AA,581,AA,N906AN,581,12953,LGA,"New York, NY",11298,DFW,"Dallas/Fort Worth, TX",629,627,-2,47,714,912,17,917,929,12,228,178,1389
2019-05-01,AA,4538,YX,N118HQ,4538,12339,IND,"Indianapolis, IN",11057,CLT,"Charlotte, NC",1357,1351,-6,15,1406,1518,9,1537,1527,-10,100,72,427
2019-05-01,AA,4538,YX,N118HQ,4538,11057,CLT,"Charlotte, NC",12339,IND,"Indianapolis, IN",1140,1138,-2,22,1200,1310,5,1327,1315,-12,107,70,427
2019-10-01,AA,5122,OH,N248PS,5122,11278,DCA,"Washington, DC",10868,CAE,"Columbia, SC",724,710,-14,8,718,821,4,856,825,-31,92,63,408
2019-05-01,AA,4549,YX,N442YX,4549,11624,EYW,"Key West, FL",13303,MIA,"Miami, FL",704,702,-2,10,712,741,6,749,747,-2,45,29,126
2019-09-01,AA,8,AA,N751AN,8,12173,HNL,"Honolulu, HI",11298,DFW,"Dallas/Fort Worth, TX",1720,1717,-3,15,1732,516,7,546,523,-23,446,404,3784
2018-07-01,AS,2002,QX,N413QX,2002,14747,SEA,"Seattle, WA",16101,YKM,"Yakima, WA",1400,1429,29,17,1446,1511,4,1444,1515,31,44,25,103
2018-10-01,AS,18,AS,N467AS,18,14747,SEA,"Seattle, WA",12478,JFK,"New York, NY",2140,2135,-5,30,2205,533,36,604,609,5,324,268,2422
2018-10-01,AS,3296,KS,N682PA,3296,10299,ANC,"Anchorage, AK",11445,DUT,"Unalaska, AK",1515,1501,-14,14,1515,1728,3,1730,1731,1,135,133,792
2018-09-01,AS,3287,KS,N687PA,3287,11445,DUT,"Unalaska, AK",10299,ANC,"Anchorage, AK",1630,1630,0,8,1638,1845,7,1900,1852,-8,150,127,792
2018-02-01,AS,3304,OO,N189SY,3304,14831,SJC,"San Jose, CA",15376,TUS,"Tucson, AZ",1722,1722,0,11,1733,2010,4,2034,2014,-20,132,97,722
2018-05-01,AS,3332,OO,N197SY,3332,11259,DAL,"Dallas, TX",11278,DCA,"Washington, DC",1328,1325,-3,17,1342,1710,9,1716,1719,3,168,148,1184
2018-12-01,AS,15,AS,N264AK,15,10721,BOS,"Boston, MA",14747,SEA,"Seattle, WA",1850,1846,-4,16,1902,2116,15,2223,2131,-52,393,314,2496
2018-08-01,AS,1,AS,N529AS,1,11278,DCA,"Washington, DC",14747,SEA,"Seattle, WA",803,757,-6,12,809,1022,11,1058,1033,-25,355,313,2329
2018-06-01,AS,2020,QX,N443QX,2020,14747,SEA,"Seattle, WA",10275,ALW,"Walla Walla, WA",1725,1718,-7,12,1730,1810,3,1819,1813,-6,54,40,213
2018-04-01,AS,3306,OO,N173SY,3306,14057,PDX,"Portland, OR",10713,BOI,"Boise, ID",1840,1834,-6,20,1854,2041,4,2050,2045,-5,70,47,344
2018-09-01,AS,2001,QX,N451QX,2001,16101,YKM,"Yakima, WA",14747,SEA,"Seattle, WA",500,447,-13,8,455,522,3,540,525,-15,40,27,103
2018-11-01,AS,4,AS,N559AS,4,14747,SEA,"Seattle, WA",11278,DCA,"Washington, DC",800,753,-7,38,831,1602,3,1615,1605,-10,315,271,2329
2018-08-01,AS,3,AS,N535AS,3,11278,DCA,"Washington, DC",14747,SEA,"Seattle, WA",1855,1846,-9,26,1912,2138,18,2153,2156,3,358,326,2329
2018-01-01,AS,35,AS,N493AS,35,11697,FLL,"Fort Lauderdale, FL",14747,SEA,"Seattle, WA",1831,1825,-6,25,1850,2146,6,2224,2152,-32,413,356,2717
2018-07-01,AS,2009,QX,N416QX,2009,14057,PDX,"Portland, OR",14489,RDM,"Bend/Redmond, OR",2120,2112,-8,9,2121,2147,2,2200,2149,-11,40,26,116
2018-02-01,AS,3301,OO,N189SY,3301,10423,AUS,"Austin, TX",14831,SJC,"San Jose, CA",1445,1443,-2,12,1455,1622,4,1640,1626,-14,235,207,1476
2018-06-01,AS,2012,QX,N442QX,2012,14057,PDX,"Portland, OR",10849,BZN,"Bozeman, MT",1654,1650,-4,6,1656,1921,5,1940,1926,-14,106,85,554
2018-01-01,AS,38,AS,N493AS,38,14747,SEA,"Seattle, WA",11697,FLL,"Fort Lauderdale, FL",830,823,-7,21,844,1649,5,1726,1654,-32,356,305,2717
2018-05-01,AS,3331,OO,N188SY,3331,10800,BUR,"Burbank, CA",14831,SJC,"San Jose, CA",1326,1309,-17,11,1320,1408,7,1440,1415,-25,74,48,296
