fl_date,mkt_carrier,dep_delay,taxi_out,taxi_in,air_time,distance,arr_delay
2018-04-01,G4,193,10,7,69,490,189
2018-10-01,G4,-8,12,6,80,585,-16
2018-08-01,G4,-10,11,5,167,1288,-2
2018-07-01,G4,-11,14,4,98,708,-12
2018-09-01,G4,-7,9,9,100,735,-14
2018-05-01,G4,-13,9,4,109,878,-26
2018-11-01,G4,0,19,7,185,1508,-19
2018-11-01,G4,-16,9,7,157,1144,-35
2018-08-01,G4,31,9,5,70,482,24
2018-12-01,G4,-14,14,7,144,986,1
2018-01-01,G4,0,21,6,154,1069,9
2018-11-01,G4,3,18,5,96,619,12
2018-10-01,G4,-4,9,9,99,700,-4
2018-06-01,G4,-6,12,6,84,620,-14
2018-04-01,G4,53,28,6,102,895,61
2018-06-01,G4,-10,12,4,87,620,-15
2018-12-01,G4,-2,8,7,116,850,-7
2018-08-01,G4,-7,11,4,98,668,-5
2018-12-01,G4,6,12,9,129,1049,-5
2018-07-01,G4,-4,11,9,117,851,-11
2018-03-01,G4,-2,12,9,141,1069,-9
2018-03-01,G4,-18,14,4,117,806,-14
2018-04-01,G4,-7,11,7,130,971,-21
2018-11-01,G4,-9,24,4,68,486,1
2018-10-01,G4,-5,19,4,153,1283,-12
2018-02-01,G4,23,14,5,89,595,14
2018-07-01,G4,10,13,4,120,916,7
2018-05-01,G4,-9,19,4,235,1561,11
2018-12-01,G4,4,12,7,144,1154,-11
2018-09-01,G4,5,16,7,108,827,-4
2018-05-01,G4,-4,12,11,175,1561,-14
2018-02-01,G4,-10,16,6,127,945,-15
2018-10-01,G4,2,10,4,102,767,-8
2018-01-01,G4,0,9,20,132,1069,-2
2018-03-01,G4,31,12,7,136,1040,23
2018-02-01,G4,3,10,5,163,1279,4
2018-07-01,G4,0,11,7,94,708,-7
2018-01-01,G4,150,11,5,87,519,154
2018-08-01,G4,9,11,4,70,477,6
2018-11-01,G4,10,11,9,213,1678,20
2018-09-01,G4,-5,10,5,76,528,-12
2018-02-01,G4,-8,10,4,130,945,-6
2018-09-01,G4,-15,15,5,162,1423,-24
2018-12-01,G4,-4,10,7,107,776,-10
2018-09-01,G4,12,15,7,92,724,6
2018-06-01,G4,-3,15,5,92,637,-3
2018-03-01,G4,0,23,5,152,1069,9
2018-04-01,G4,191,12,7,103,727,189
2018-05-01,G4,-10,10,5,79,528,-15
2018-06-01,G4,-2,19,4,157,1413,-15
2018-06-01,G4,-7,19,4,105,781,-4
2018-05-01,G4,-13,10,6,79,519,-14
2018-01-01,G4,330,10,8,128,912,333
2018-10-01,G4,-2,13,7,218,1900,-15
2018-03-01,G4,-12,7,7,73,550,-24
2018-01-01,G4,-10,16,6,128,912,-5
2018-04-01,G4,-3,9,6,117,958,-18
2019-07-01,G4,-8,8,7,97,731,-16
2019-06-01,G4,0,9,7,113,949,-10
2019-11-01,G4,-6,15,7,140,1283,-23
2019-10-01,G4,0,15,7,77,704,-15
2019-01-01,G4,17,15,7,159,1129,27
2019-09-01,G4,-7,14,4,67,490,-20
2019-12-01,G4,-6,10,5,151,1299,-20
2019-02-01,G4,-4,11,4,91,671,-7
2019-03-01,G4,24,13,14,251,1619,44
2019-08-01,G4,4,15,7,97,734,3
2019-04-01,G4,-1,18,7,99,729,2
2019-10-01,G4,0,15,4,62,477,-8
2019-12-01,G4,-1,12,5,87,587,0
2019-06-01,G4,14,8,6,144,1220,2
2019-05-01,G4,-5,14,5,116,882,-13
2019-08-01,G4,-11,12,95,88,612,77
2019-06-01,G4,-17,8,4,148,1142,-29
2019-07-01,G4,20,15,7,86,625,23
2019-02-01,G4,-14,13,4,138,936,-9
2019-09-01,G4,75,6,4,159,1184,55
2019-01-01,G4,31,11,4,117,870,27
2019-05-01,G4,-4,8,7,149,1173,-10
2019-08-01,G4,27,12,6,84,636,24
2019-02-01,G4,-7,11,6,139,954,-2
2019-10-01,G4,-4,9,4,47,259,-14
2019-02-01,G4,-7,7,6,54,259,-6
2019-03-01,G4,-2,14,36,130,1005,20
2019-07-01,G4,-1,9,5,88,694,-17
2019-07-01,G4,25,11,15,90,620,33
2019-12-01,G4,-11,31,5,127,841,18
2019-11-01,G4,-8,14,6,121,841,-3
2019-02-01,G4,48,4,6,88,625,44
2019-03-01,G4,-11,11,7,148,1373,-30
2019-09-01,G4,13,11,14,114,807,19
2019-04-01,G4,0,11,5,141,1144,-12
2019-01-01,G4,16,8,11,244,1678,36
2019-07-01,G4,-7,14,7,98,750,-16
2019-09-01,G4,22,13,7,50,276,18
2019-03-01,G4,-7,11,10,131,819,9
2019-11-01,G4,8,9,4,134,1092,-14
2019-12-01,G4,73,8,7,54,259,78
2019-06-01,G4,-2,13,4,173,1546,-15
2019-04-01,G4,0,7,4,92,641,-5
2019-11-01,G4,-2,22,7,118,1076,-8
2019-05-01,G4,38,11,4,138,1001,41
2019-01-01,G4,-14,11,7,95,698,-17
2019-04-01,G4,-7,16,6,189,1624,-6
2019-04-01,G4,0,15,4,156,1272,9
2019-10-01,G4,-9,8,4,78,511,-11
2019-03-01,G4,-7,13,4,238,1590,4
2019-05-01,G4,-10,10,7,143,1026,-5
2019-05-01,G4,-10,8,7,69,519,-17
2019-06-01,G4,0,9,6,118,932,-11
