fl_date,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,dep_delay,taxi_out,taxi_in,air_time,distance,arr_delay
2018-05-01,B6,8,B6,N779JB,8,12889,LAS,11697,FLL,-8,10,6,254,2173,-16
2018-04-01,B6,7,B6,N763JB,7,11697,FLL,12889,LAS,-15,16,6,298,2173,-30
2018-06-01,B6,1184,B6,N970JB,1184,13204,MCO,12478,JFK,79,13,11,134,944,72
2018-10-01,B6,42,B6,N796JB,42,12954,LGB,14570,RNO,12,13,4,60,402,7
2018-09-01,B6,8,B6,N638JB,8,12889,LAS,11697,FLL,19,14,7,259,2173,1
2018-09-01,B6,54,B6,N956JB,54,14027,PBI,12478,JFK,4,19,6,136,1028,2
2018-01-01,B6,1,B6,N954JB,1,12478,JFK,11697,FLL,32,43,8,181,1069,74
2018-07-01,B6,136,B6,N615JB,136,14107,PHX,12478,JFK,-5,11,5,257,2153,-18
2018-10-01,B6,43,B6,N796JB,43,14570,RNO,12954,LGB,13,8,3,67,402,7
2018-06-01,B6,1186,B6,N203JB,1186,14492,RDU,12478,JFK,104,24,9,71,427,104
2018-12-01,B6,2136,B6,N547JB,2136,12954,LGB,14771,SFO,-9,10,15,66,354,-7
2018-09-01,B6,7,B6,N638JB,7,11697,FLL,12889,LAS,16,19,7,280,2173,12
2018-04-01,B6,105,B6,N324JB,105,12478,JFK,13930,ORD,41,26,15,134,740,42
2018-02-01,B6,22,B6,N603JB,22,14027,PBI,10721,BOS,-1,16,9,151,1197,-1
2018-01-01,B6,34,B6,N368JB,34,12478,JFK,10785,BTV,9,35,10,48,266,29
2018-11-01,B6,1280,B6,N192JB,1280,11618,EWR,10721,BOS,-10,14,3,41,200,-13
2018-02-01,B6,1,B6,N952JB,1,12478,JFK,11697,FLL,4,19,4,155,1069,-13
2018-09-01,B6,1,B6,N905JB,1,12478,JFK,11697,FLL,16,20,5,137,1069,-11
2018-12-01,B6,2115,B6,N348JB,2115,11278,DCA,12451,JAX,-14,11,6,104,634,-15
2018-06-01,B6,1185,B6,N203JB,1185,12478,JFK,14492,RDU,7,19,4,82,427,-8
2018-04-01,B6,5,B6,N661JB,5,11618,EWR,11697,FLL,399,19,7,148,1065,395
2018-07-01,B6,144,B6,N355JB,144,10994,CHS,11278,DCA,-3,10,4,65,444,-8
2018-02-01,B6,20,B6,N984JB,20,14679,SAN,10721,BOS,-14,12,17,275,2588,-26
2018-08-01,B6,2820,B6,N989JB,2820,14679,SAN,10721,BOS,-3,23,18,305,2588,6
